day	hour	value	showName	description
4	8	12.81	Classics	WREK’s classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today’s most innovative composers. A refreshing alternative to classical programming on other non-commercial stations.	
4	9	17.95	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
4	10	17.95	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
4	11	17.95	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
4	12	14.71	Inside the Black Box	Inside the Black Box, or as we like to call it “Science, only funnier,” is a weekly show that attempts to demystify science and technology for people without an advanced degree in science or engineering (in other words – normal people). Your hosts Pete Ludovice and Bill Hunt of the Georgia Tech Engineering Faculty also do stand-up comedy at night.	
4	13	15.29	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
4	14	15.29	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
4	15	15.29	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
4	16	15.29	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
4	17	15.29	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
4	18	22.71	Ramblin’ WREK Report	An all Georgia Tech sports talk show featuring debate on the latest games and previews of upcoming ones. We also feature special guests from analysts around the country to players and coaches themselves. You don’t want to miss a minute of the fun, every Wednesday 6-7 PM.	
4	19	30.93	The Mobius	Experimental, Ambient, Electronic, and Bitrock.	
4	20	30.93	The Mobius	Experimental, Ambient, Electronic, and Bitrock.	
4	21	17.29	Destroy All Music	Noise, Jazz, Avant-Garde, and Improv	
4	22	12.71	Friction	Noise, Avant-Garde, and Improv	
4	23	13.57	Psych-Out!	Psych-Out is a 60-minute technicolour dream through the world of psychedelia past and present. Devoted to freakouts, psych-pop, acid folk, drone, krautrock, spacerock, etc, your host Curtis is trying to make it as broad, and consequently as deep, as possible. Acid Mothers Temple, Flying Saucer Attack, Nurse With Wound, Incredible String Band, 13th Floor Elevators, Gorky’s Zygotic Mynci, Taj Mahal Travelers, and maybe even some groups without 3 words in their title. It’s a freak scene!	
5	24	11.5	Atmospherics	Ambient, drone; spaced-out textures for deep meditation.	
5	1	11.5	Atmospherics	Ambient, drone; spaced-out textures for deep meditation.	
5	2	11.54	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
5	3	11.54	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
5	4	11.54	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
5	5	11.54	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
5	6	11.95	Classics	WREK’s classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today’s most innovative composers. A refreshing alternative to classical programming on other non-commercial stations.	
5	7	11.95	Classics	WREK’s classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today’s most innovative composers. A refreshing alternative to classical programming on other non-commercial stations.	
5	8	11.95	Classics	WREK’s classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today’s most innovative composers. A refreshing alternative to classical programming on other non-commercial stations.	
5	9	15.81	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
5	10	15.81	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
5	11	15.81	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
5	12	16.57	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
5	13	16.57	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
5	14	16.57	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
5	15	16.57	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
5	16	16.57	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
5	17	16.57	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
5	18	16.57	Tech Talk	Who needs Rush, Boortz, “Dr.” Laura, or Jimmy when you’ve got Tech students? WREK’s call-in/talk show/interview/kitchen sink extravaganza continues to ask the questions nobody knew they had until they heard them.	
5	19	11.86	Sci-Fi Lab	The Sci Fi Lab discusses all the best in science fiction, from movies and television to literature and actual science.	
5	20	10.47	54-46	The best selection of reggae, ska, and other good stuff to be found. The chillest music around every week, along with contests when available. Tune in and as always, feel free to request any skanky goodness you please!	
5	21	13.57	WREKroom Renaissance	It has great new music mixed live by DJs, interviews with artists, hip-hop news and information on events.	
5	22	16	WREKroom Renaissance	It has great new music mixed live by DJs, interviews with artists, hip-hop news and information on events.	
5	23	14	The Electric Boogaloo	Throughout the ages, many have sought to attain the conscious spiritual levels required to channel such a program of harmonious bliss. Healing, personal growth, and funkentelechy. Join the mass mediation upon which world healing levels are dependent. It’s a funk show, dammit! Just sit back and relax as we do it to you in 3-D.	
6	24	11.5	Atmospherics	Ambient, drone; spaced-out textures for deep meditation.	
6	1	11.5	Atmospherics	Ambient, drone; spaced-out textures for deep meditation.	
6	2	11.54	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
6	3	11.54	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
6	4	11.54	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
6	5	11.54	Overnight Alternatives	A 4.5-hour deconstruction of music and sound. During Overnight Alternatives we play anything and everything, but with an emphasis on the experimental: noise, avant-garde jazz, free improvisation, industrial, power electronics… In other words, the most extreme music on the radio.	
6	6	13.15	Classics	WREK’s classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today’s most innovative composers. A refreshing alternative to classical programming on other non-commercial stations.	
6	7	13.15	Classics	WREK’s classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today’s most innovative composers. A refreshing alternative to classical programming on other non-commercial stations.	
6	8	13.15	Classics	WREK’s classical music rotation. You can expect to hear music from the full historical spectrum of the Western art tradition, from the pre-Common Practice era through today’s most innovative composers. A refreshing alternative to classical programming on other non-commercial stations.	
6	9	16.49	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
6	10	16.49	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
6	11	16.49	Jazz	The name says it all: traditional jazz, modern jazz, hot jazz, cool jazz, free jazz, unfree jazz, jazz fusion, jazz fission.	
6	12	16.5	Lost in the Stacks	The one and only Research Library Rock’n'Roll show! Ameet and Charlie from the Georgia Tech Library pick a theme and free-associate an hour of music, interviews, and library talk every Friday for lunch. You’ll hear indie rock, pop rock, alt rock, New Wave, and the occasional oddity in between interviews with students, faculty, and librarians.	
6	13	16.05	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
6	14	16.05	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
6	15	16.05	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
6	16	16.05	Rock, Rhythm, and Roll	WREK’s interpretation of the standard “college rock” format, featuring quality, diverse music from a number of genres from the rock and roll tradition: rock, blues, hip-hop, R&B, reggae, dub, indie, punk, metal, IDM, electro, and more.	
6	17	23	Country Classics	Joe Bussard’s Country Music Classics show covers rare country, folk, bluegrass, and country blues from the first half of the century. Drawing from his extensive collection of vintage 78 rpm records, Joe not only plays these old time classics, but provides very knowledgeable commentary about their origins and the artists themselves. More quality, diverse music every Friday.	
6	18	43.67	Friday Night Fish Fry	Ready to party when you get off of work on Friday evening after a long week? Instead of listening to the top 40, listen to music you can really boogie to, the blues. The Friday Night Fish Fry brings you the best selections of blues every Friday evening. The Friday Night Fish Fry Crew will serve up cuts from Robert Johnson, Blind Willie McTell, John Lee Hooker, Muddy Waters, RL Burnside, The Black Keys and many more. Also, listen in for special live performances from local Atlanta artists that will have you cuttin’ a rug in no time.	
6	19	43.67	Friday Night Fish Fry	Ready to party when you get off of work on Friday evening after a long week? Instead of listening to the top 40, listen to music you can really boogie to, the blues. The Friday Night Fish Fry brings you the best selections of blues every Friday evening. The Friday Night Fish Fry Crew will serve up cuts from Robert Johnson, Blind Willie McTell, John Lee Hooker, Muddy Waters, RL Burnside, The Black Keys and many more. Also, listen in for special live performances from local Atlanta artists that will have you cuttin’ a rug in no time.	
6	20	35.06	Stonehenge	REAL CLASSIC ROCK THAT YOU DON'T HEAR ANYWHERE ELSE ON THE RADIO. LIVE EVERY FRIDAY ON WREK 91.1 FM ATLANTA, GA, OR STREAMING LIVE AND ARCHIVED THROUGHOUT THE WEEK AT WWW.WREK.ORG	
6	21	35.06	Stonehenge	REAL CLASSIC ROCK THAT YOU DON'T HEAR ANYWHERE ELSE ON THE RADIO. LIVE EVERY FRIDAY ON WREK 91.1 FM ATLANTA, GA, OR STREAMING LIVE AND ARCHIVED THROUGHOUT THE WEEK AT WWW.WREK.ORG	
6	22	35.06	Stonehenge	REAL CLASSIC ROCK THAT YOU DON'T HEAR ANYWHERE ELSE ON THE RADIO. LIVE EVERY FRIDAY ON WREK 91.1 FM ATLANTA, GA, OR STREAMING LIVE AND ARCHIVED THROUGHOUT THE WEEK AT WWW.WREK.ORG	
6	23	35.06	Stonehenge	REAL CLASSIC ROCK THAT YOU DON'T HEAR ANYWHERE ELSE ON THE RADIO. LIVE EVERY FRIDAY ON WREK 91.1 FM ATLANTA, GA, OR STREAMING LIVE AND ARCHIVED THROUGHOUT THE WEEK AT WWW.WREK.ORG	
7	24	14.92	WREKage	WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.	
7	1	14.92	WREKage	WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.	
7	2	14.92	WREKage	WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.	
7	3	14.92	WREKage	WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.	
7	4	14.92	WREKage	WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.	
7	5	14.92	WREKage	WREKage is Atlanta's longest running true metal radio show. The show airs every Friday evening on WREK Atlanta 91.1 FM from midnight until around 6 a.m.	
7	6	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	7	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	8	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	9	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	10	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	11	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	12	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	13	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	14	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	15	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	16	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	17	20.54	Weekend Cornucopia	A weekend full of diverse music from all over the world: folk and indigenous (“world”) musics, bluegrass/country, blues, reggae, jazz, classical, and plenty of music that’s simply unclassifiable.	
7	18	23.08	The Desoto Hour	A nationally acclaimed Big Band Jazz Show with your host, Fred Runde III. This show even got WREK on the national news. The Kings of Swing, the Barons of BeBop. This might be the best show on radio anywhere.	
7	19	23.08	The Desoto Hour	A nationally acclaimed Big Band Jazz Show with your host, Fred Runde III. This show even got WREK on the national news. The Kings of Swing, the Barons of BeBop. This might be the best show on radio anywhere.	
7	20	20.67	Coffee & Sushi	Atlanta's best source for chillout and lounge music. Now airing every Saturday night from eight to nine!	
7	21	19.22	EDM Soundsystem	EDM Sound System is a live radio program series, airing on WREK, Atlanta (91.1 FM) for three hours every saturday from 9pm to midnight.	
7	22	19.22	EDM Soundsystem	EDM Sound System is a live radio program series, airing on WREK, Atlanta (91.1 FM) for three hours every saturday from 9pm to midnight.	
7	23	19.22	EDM Soundsystem	EDM Sound System is a live radio program series, airing on WREK, Atlanta (91.1 FM) for three hours every saturday from 9pm to midnight.	